Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Tuberculosis","2023","Ziebach County, SD","46137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Zavala County, TX","48507","Data suppressed","Data suppressed"
"Tuberculosis","2023","Zapata County, TX","48505","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yuma County, CO","08125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yuma County, AZ","04027","25","11.7"
"Tuberculosis","2023","Yukon-Koyukuk Census Area, AK","02290","Data suppressed","Data not available"
"Tuberculosis","2023","Yuba County, CA","06115","Data suppressed","Data suppressed"
"Tuberculosis","2023","Young County, TX","48503","Data suppressed","Data suppressed"
"Tuberculosis","2023","York County, VA","51199","Data suppressed","Data suppressed"
"Tuberculosis","2023","York County, SC","45091","8","2.7"
"Tuberculosis","2023","York County, PA","42133","5","1.1"
"Tuberculosis","2023","York County, NE","31185","Data suppressed","Data suppressed"
"Tuberculosis","2023","York County, ME","23031","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yolo County, CA","06113","5","2.3"
"Tuberculosis","2023","Yoakum County, TX","48501","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yellowstone County, MT","30111","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yellow Medicine County, MN","27173","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yell County, AR","05149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yazoo County, MS","28163","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yavapai County, AZ","04025","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yauco Municipio, PR","72153","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yates County, NY","36123","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yankton County, SD","46135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yancey County, NC","37199","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yamhill County, OR","41071","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yalobusha County, MS","28161","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yakutat City and Borough, AK","02282","Data suppressed","Data not available"
"Tuberculosis","2023","Yakima County, WA","53077","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yadkin County, NC","37197","Data suppressed","Data suppressed"
"Tuberculosis","2023","Yabucoa Municipio, PR","72151","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wythe County, VA","51197","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wyoming County, WV","54109","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wyoming County, PA","42131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wyoming County, NY","36121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wyandotte County, KS","20209","12","7.3"
"Tuberculosis","2023","Wyandot County, OH","39175","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wright County, MO","29229","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wright County, MN","27171","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wright County, IA","19197","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wrangell City and Borough, AK","02275","Data suppressed","Data not available"
"Tuberculosis","2023","Worth County, MO","29227","Data suppressed","Data suppressed"
"Tuberculosis","2023","Worth County, IA","19195","Data suppressed","Data suppressed"
"Tuberculosis","2023","Worth County, GA","13321","Data suppressed","Data suppressed"
"Tuberculosis","2023","Worcester County, MD","24047","Data suppressed","Data suppressed"
"Tuberculosis","2023","Worcester County, MA","25027","20","2.3"
"Tuberculosis","2023","Woodward County, OK","40153","Data suppressed","Data suppressed"
"Tuberculosis","2023","Woodson County, KS","20207","Data suppressed","Data suppressed"
"Tuberculosis","2023","Woods County, OK","40151","Data suppressed","Data suppressed"
"Tuberculosis","2023","Woodruff County, AR","05147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Woodford County, KY","21239","Data suppressed","Data suppressed"
"Tuberculosis","2023","Woodford County, IL","17203","Data suppressed","Data suppressed"
"Tuberculosis","2023","Woodbury County, IA","19193","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wood County, WV","54107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wood County, WI","55141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wood County, TX","48499","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wood County, OH","39173","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wolfe County, KY","21237","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wise County, VA","51195","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wise County, TX","48497","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wirt County, WV","54105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Winston County, MS","28159","Data suppressed","Data suppressed"
"Tuberculosis","2023","Winston County, AL","01133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Winona County, MN","27169","Data suppressed","Data suppressed"
"Tuberculosis","2023","Winneshiek County, IA","19191","Data suppressed","Data suppressed"
"Tuberculosis","2023","Winnebago County, WI","55139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Winnebago County, IL","17201","Data suppressed","Data suppressed"
"Tuberculosis","2023","Winnebago County, IA","19189","Data suppressed","Data suppressed"
"Tuberculosis","2023","Winn Parish, LA","22127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Winkler County, TX","48495","Data suppressed","Data suppressed"
"Tuberculosis","2023","Windsor County, VT","50027","Data suppressed","Data suppressed"
