Reporting area,TB symptoms,Contact investigation,Screening,Other,Unknown or missing
Alabama,58,14,6,12,0
Alaska,52,20,7,12,0
Arizona,123,8,56,23,0
Arkansas,50,42,12,15,0
California,"1,331",60,253,417,48
Colorado,63,4,5,6,0
Connecticut,69,1,5,5,7
Delaware,18,5,1,0,0
District of Columbia,30,1,2,0,0
Florida,376,17,231,51,0
Georgia,177,8,30,37,2
Hawaii,82,4,3,28,0
Idaho,18,0,1,3,0
Illinois,249,9,29,61,4
Indiana,108,8,8,12,0
Iowa,39,1,5,2,0
Kansas,35,64,7,7,1
Kentucky,68,8,9,7,1
Louisiana,82,6,13,14,1
Maine,28,1,7,0,3
Maryland,158,9,19,34,0
Massachusetts,223,5,24,2,0
Michigan,107,6,17,35,0
Minnesota,166,5,13,10,0
Mississippi,15,2,10,22,0
Missouri,48,8,3,26,0
Montana,4,0,0,1,1
Nebraska,28,3,5,5,0
Nevada,62,1,4,8,0
New Hampshire,4,0,2,6,0
New Jersey,255,13,38,36,0
New Mexico,31,2,3,4,0
New York State,170,6,36,38,0
New York City,414,19,46,344,10
New York,584,25,82,382,10
North Carolina,177,10,5,57,0
North Dakota,6,0,1,4,0
Ohio,130,9,23,33,3
Oklahoma,43,7,6,9,0
Oregon,56,3,2,26,0
Pennsylvania,152,5,33,28,10
Rhode Island,16,0,5,2,0
South Carolina,50,8,6,19,0
South Dakota,11,0,0,0,1
Tennessee,128,6,18,11,0
Texas,756,77,242,190,14
Utah,43,1,0,7,0
Vermont,3,0,0,1,0
Virginia,165,7,30,21,2
Washington,126,29,17,82,3
West Virginia,6,2,0,0,0
Wisconsin,56,3,10,0,0
Wyoming,4,0,0,0,0
American Samoa,8,3,0,0,0
Federated States of Micronesia,50,52,38,3,0
Guam,31,11,14,4,0
Republic of the Marshall Islands,85,8,0,1,0
Northern Mariana Islands,8,2,0,0,0
Puerto Rico,8,0,0,5,0
Republic of Palau,2,0,0,2,0
U.S. Virgin Islands,1,0,0,0,0
