Year,State,District,Awards,Funding
,,Summary for Alabama by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,,6,"$2,934,240"
2025,,5,1,"$289,050"
2025,,6,1,"$303,731"
2025,,7,73,"$50,203,323"
2025,,Total,81,"$53,730,344"
2025,,Summary for Alaska by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,At-Large,1,"$650,253"
2025,,Total,1,"$650,253"
2025,,Summary for Arizona by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,12,"$6,159,210"
2025,,2,5,"$3,277,729"
2025,,3,2,"$1,257,703"
2025,,4,7,"$2,651,147"
2025,,6,1,"$299,985"
2025,,7,28,"$15,570,838"
2025,,Total,55,"$29,216,612"
2025,,Summary for Arkansas by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,26,"$9,917,784"
2025,,3,2,"$1,007,508"
2025,,Total,28,"$10,925,292"
2025,,Summary for California by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,,96,"$112,821,358"
2025,,2,2,"$819,361"
2025,,4,51,"$28,094,051"
2025,,8,1,"$999,991"
2025,,11,192,"$144,992,006"
2025,,12,49,"$25,211,082"
2025,,13,4,"$1,498,925"
2025,,14,4,"$1,192,272"
2025,,15,4,"$3,121,760"
2025,,16,103,"$70,563,924"
2025,,17,3,"$2,062,415"
2025,,18,2,"$293,000"
2025,,19,12,"$4,519,365"
2025,,20,1,"$175,000"
2025,,24,4,"$2,430,779"
2025,,28,10,"$8,835,864"
2025,,29,1,"$1,000,000"
2025,,30,15,"$14,358,653"
2025,,31,16,"$12,242,475"
2025,,32,3,"$2,606,107"
2025,,35,3,"$612,209"
2025,,36,6,"$3,185,602"
2025,,37,22,"$11,860,515"
2025,,39,11,"$5,018,445"
2025,,40,1,"$999,985"
2025,,42,1,"$188,125"
2025,,44,7,"$6,323,005"
2025,,45,1,"$142,000"
2025,,47,54,"$26,825,036"
2025,,49,3,"$3,415,066"
2025,,50,172,"$171,226,651"
2025,,51,14,"$9,873,969"
2025,,Total,868,"$677,508,996"
2025,,Summary for Colorado by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,11,"$12,607,264"
2025,,2,47,"$27,065,945"
2025,,3,1,"$130,000"
2025,,6,86,"$34,306,177"
2025,,7,1,"$232,247"
2025,,Total,146,"$74,341,633"
2025,,Summary for Connecticut by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,8,"$3,385,335"
2025,,3,131,"$76,836,886"
2025,,4,3,"$1,562,270"
2025,,5,11,"$4,568,550"
2025,,Total,153,"$86,353,041"
2025,,Summary for Delaware by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,At-Large,7,"$3,647,147"
2025,,Total,7,"$3,647,147"
2025,,Summary for District Of Columbia by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,At-Large,40,"$29,983,663"
2025,,Total,40,"$29,983,663"
2025,,Summary for Florida by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,7,"$4,250,296"
2025,,3,52,"$28,131,003"
2025,,10,9,"$3,506,626"
2025,,15,20,"$11,796,268"
2025,,21,4,"$3,219,498"
2025,,23,1,"$656,450"
2025,,25,1,"$224,070"
2025,,26,4,"$2,066,914"
2025,,27,11,"$5,848,329"
2025,,Total,109,"$59,699,454"
2025,,Summary for Georgia by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,,2,"$532,500"
2025,,5,196,"$147,195,852"
2025,,10,39,"$28,983,361"
2025,,11,3,"$2,663,930"
2025,,Total,240,"$179,375,643"
2025,,Summary for Hawaii by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,4,"$1,791,504"
2025,,Total,4,"$1,791,504"
2025,,Summary for Idaho by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,5,"$1,350,441"
2025,,2,4,"$1,299,587"
2025,,Total,9,"$2,650,028"
2025,,Summary for Illinois by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,60,"$42,925,018"
2025,,4,1,"$157,400"
2025,,5,92,"$50,688,777"
2025,,6,2,"$880,223"
2025,,7,51,"$28,293,810"
2025,,10,6,"$2,489,106"
2025,,13,18,"$10,959,741"
2025,,Total,230,"$136,394,075"
2025,,Summary for Indiana by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,19,"$10,247,040"
2025,,4,13,"$7,659,606"
2025,,5,1,"$549,460"
2025,,6,1,"$988,914"
2025,,7,43,"$18,918,857"
2025,,9,12,"$3,462,727"
2025,,Total,89,"$41,826,604"
2025,,Summary for Iowa by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,,10,"$3,952,035"
2025,,1,57,"$25,606,564"
2025,,Total,67,"$29,558,599"
2025,,Summary for Kansas by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,7,"$3,347,186"
2025,,3,11,"$3,732,215"
2025,,Total,18,"$7,079,401"
2025,,Summary for Kentucky by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,1,"$177,183"
2025,,3,13,"$9,792,694"
2025,,6,19,"$9,326,701"
2025,,Total,33,"$19,296,578"
2025,,Summary for Louisiana by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,,7,"$4,652,774"
2025,,1,32,"$23,641,335"
2025,,2,3,"$374,263"
2025,,3,5,"$2,917,698"
2025,,5,1,"$72,500"
2025,,6,3,"$1,058,894"
2025,,Total,51,"$32,717,464"
2025,,Summary for Maine by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,4,"$6,998,382"
2025,,Total,4,"$6,998,382"
2025,,Summary for Maryland by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,8,"$6,178,586"
2025,,3,1,"$1,320"
2025,,4,27,"$20,247,628"
2025,,6,18,"$36,098,340"
2025,,7,276,"$220,136,064"
2025,,8,70,"$130,414,278"
2025,,Total,400,"$413,076,216"
2025,,Summary for Massachusetts by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,,1,"$1,000,000"
2025,,2,82,"$49,932,134"
2025,,3,7,"$7,029,496"
2025,,4,10,"$7,778,983"
