Year,State,District,Awards,Funding
2025,CA,,27,"$46,287,354"
2025,CA,2,1,"$671,861"
2025,CA,4,20,"$11,072,573"
2025,CA,11,40,"$24,655,197"
2025,CA,12,3,"$1,742,886"
2025,CA,13,2,"$506,623"
2025,CA,16,17,"$9,102,900"
2025,CA,19,2,"$1,396,838"
2025,CA,24,1,"$485,141"
2025,CA,28,4,"$5,075,938"
2025,CA,29,1,"$1,000,000"
2025,CA,30,4,"$2,131,856"
2025,CA,31,3,"$1,699,886"
2025,CA,35,1,"$379,080"
2025,CA,37,4,"$1,930,937"
2025,CA,39,10,"$4,270,505"
2025,CA,44,1,"$198,554"
2025,CA,47,10,"$4,730,602"
2025,CA,49,1,"$1,000,000"
2025,CA,50,52,"$30,769,457"
2025,CA,Total,204,"$149,108,188"
2025,AL,,7,"$2,949,874"
2025,AL,3,2,"$979,962"
2025,AL,7,126,"$51,585,116"
2025,AL,Total,135,"$55,514,952"
2025,AK,,1,"$65,875"
2025,AK,0,2,"$513,197"
2025,AK,Total,3,"$579,072"
2025,AZ,1,12,"$5,377,597"
2025,AZ,2,1,"$279,025"
2025,AZ,3,6,"$2,022,529"
2025,AZ,4,28,"$11,605,974"
2025,AZ,6,2,"$347,389"
2025,AZ,7,59,"$28,283,514"
2025,AZ,Total,108,"$47,916,028"
2025,AR,2,27,"$11,564,896"
2025,AR,3,4,"$589,999"
2025,AR,Total,31,"$12,154,895"
2025,CO,1,23,"$9,042,338"
2025,CO,2,69,"$18,525,802"
2025,CO,6,170,"$58,815,833"
2025,CO,7,2,"$515,096"
2025,CO,Total,264,"$86,899,069"
2025,CT,1,2,"$1,142,772"
2025,CT,2,15,"$4,046,824"
2025,CT,3,229,"$106,013,499"
2025,CT,4,1,"$1,311,907"
2025,CT,5,34,"$13,110,768"
2025,CT,Total,281,"$125,625,770"
2025,DE,0,21,"$9,443,997"
2025,DE,Total,21,"$9,443,997"
2025,DC,0,79,"$39,044,174"
2025,DC,Total,79,"$39,044,174"
2025,FL,2,21,"$19,299,805"
2025,FL,3,125,"$53,833,396"
2025,FL,5,19,"$18,176,950"
2025,FL,8,1,"$434,610"
2025,FL,9,1,"$150,930"
2025,FL,10,9,"$3,383,768"
2025,FL,14,1,"$846,089"
2025,FL,15,57,"$58,517,966"
2025,FL,16,1,"$341,000"
2025,FL,19,1,"$153,851"
2025,FL,21,2,"$2,869,132"
2025,FL,23,6,"$2,024,192"
2025,FL,25,5,"$679,667"
2025,FL,26,15,"$5,982,085"
2025,FL,27,73,"$34,671,597"
2025,FL,Total,337,"$201,365,038"
2025,GA,2,1,"$657,602"
2025,GA,5,246,"$117,013,649"
2025,GA,10,39,"$14,652,923"
2025,GA,11,2,"$725,086"
2025,GA,12,33,"$14,845,383"
2025,GA,Total,321,"$147,894,643"
2025,HI,1,13,"$6,576,431"
2025,HI,Total,13,"$6,576,431"
2025,ID,1,2,"$494,700"
2025,ID,2,3,"$571,458"
2025,ID,Total,5,"$1,066,158"
2025,IL,1,114,"$53,044,197"
2025,IL,2,1,"$1,117,161"
2025,IL,5,179,"$90,670,018"
2025,IL,7,109,"$75,203,397"
2025,IL,9,6,"$3,763,910"
2025,IL,10,4,"$1,432,836"
2025,IL,11,1,"$25,000"
2025,IL,12,2,"$404,136"
2025,IL,13,43,"$16,770,481"
2025,IL,Total,459,"$242,431,136"
2025,IN,2,9,"$4,924,748"
2025,IN,4,33,"$10,562,899"
2025,IN,7,77,"$43,909,416"
2025,IN,9,17,"$6,064,966"
2025,IN,Total,136,"$65,462,029"
2025,IA,,7,"$3,331,169"
2025,IA,1,101,"$42,803,718"
2025,IA,Total,108,"$46,134,887"
2025,KS,1,20,"$7,993,710"
2025,KS,3,21,"$9,234,378"
2025,KS,Total,41,"$17,228,088"
2025,KY,3,21,"$9,515,941"
2025,KY,4,2,"$255,500"
2025,KY,6,59,"$21,628,382"
2025,KY,Total,82,"$31,399,823"
2025,LA,,5,"$3,801,615"
2025,LA,1,30,"$18,908,262"
2025,LA,2,6,"$1,511,599"
2025,LA,6,5,"$4,340,778"
2025,LA,Total,46,"$28,562,254"
2025,ME,,1,"$440,561"
2025,ME,1,7,"$3,576,160"
