Grouping,Area,Pop. size (N),Persons with LTBI (95%CI),Column %,LTBI % (95%CI)
Total estimated number of persons with LTBI, US ,"312,295,448","8,561,899 (8,307,006 to 8,844,338)",100%,2.7 (2.7 to 2.8)
With solid organ transplant (SOT), US ,NA,"1,917 (1,859 to 1,981)",0%,
With HIV coinfection but not SOT, US ,NA,"30,402 (29,479 to 31,442)",0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, US ,NA,"22,743 (22,062 to 23,503)",0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", US ,NA,"106,774 (103,529 to 110,437)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), US ,NA,"843,471 (818,644 to 870,682)",10%,
None of the below medical risk factors reported, US ,NA,"7,556,592 (7,331,433 to 7,806,292)",88%,
1–14 years, US ,"57,107,672","139,237 (127,973 to 151,578)",2%,0.2 (0.2 to 0.3)
15–24 years, US ,"43,055,372","545,179 (519,882 to 573,366)",6%,1.3 (1.2 to 1.3)
25–44 years, US ,"82,924,976","2,973,250 (2,893,700 to 3,057,523)",35%,3.6 (3.5 to 3.7)
45–64 years, US ,"83,213,466","3,479,157 (3,382,813 to 3,581,179)",41%,4.2 (4.1 to 4.3)
65+ years, US ,"45,993,962","1,425,075 (1,382,639 to 1,480,692)",17%,3.1 (3.0 to 3.2)
Non-Hispanic white, US ,"193,404,794","2,429,041 (2,353,947 to 2,515,189)",28%,1.3 (1.2 to 1.3)
Non-Hispanic black, US ,"38,068,868","1,484,262 (1,436,650 to 1,540,632)",17%,3.9 (3.8 to 4.0)
Hispanic, US ,"54,613,248","2,377,515 (2,309,683 to 2,449,565)",28%,4.4 (4.2 to 4.5)
Asian or other race/ethnicity, US ,"26,208,537","2,271,080 (2,206,726 to 2,338,952)",27%,8.7 (8.4 to 8.9)
Total estimated number of persons with LTBI, AK ,"685,910","32,601 (31,588 to 33,750)",100%,4.8 (4.6 to 4.9)
With solid organ transplant (SOT), AK ,NA,0,0%,
With HIV coinfection but not SOT, AK ,NA,15 (15 to 15),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, AK ,NA,38 (37 to 40),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", AK ,NA,0,0%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), AK ,NA,"1,076 (1,045 to 1,108)",3%,
None of the below medical risk factors reported, AK ,NA,"31,472 (30,491 to 32,587)",97%,
1–14 years, AK ,"146,015",0,0%,0.0 (0.0 to 0.0)
15–24 years, AK ,"96,806","1,424 (1,351 to 1,506)",4%,1.5 (1.4 to 1.6)
25–44 years, AK ,"195,504","6,417 (6,195 to 6,656)",20%,3.3 (3.2 to 3.4)
45–64 years, AK ,"180,852","17,997 (17,474 to 18,552)",55%,10.0 (9.7 to 10.3)
65+ years, AK ,"66,733","6,764 (6,568 to 7,037)",21%,10.1 (9.8 to 10.5)
Non-Hispanic white, AK ,"391,864","4,418 (4,279 to 4,580)",14%,1.1 (1.1 to 1.2)
Non-Hispanic black, AK ,"16,741",633 (613 to 656),2%,3.8 (3.7 to 3.9)
Hispanic, AK ,"58,175",426 (412 to 443),1%,0.7 (0.7 to 0.8)
Asian or other race/ethnicity, AK ,"219,130","27,124 (26,284 to 28,072)",83%,12.4 (12.0 to 12.8)
Total estimated number of persons with LTBI, AL ,"4,709,370","109,345 (106,049 to 113,340)",100%,2.3 (2.3 to 2.4)
With solid organ transplant (SOT), AL ,NA,48 (47 to 50),0%,
With HIV coinfection but not SOT, AL ,NA,278 (269 to 289),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, AL ,NA,204 (198 to 212),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", AL ,NA,"1,914 (1,854 to 1,988)",2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), AL ,NA,"6,199 (6,014 to 6,421)",6%,
None of the below medical risk factors reported, AL ,NA,"100,702 (97,667 to 104,382)",92%,
1–14 years, AL ,"849,917",733 (687 to 800),1%,0.1 (0.1 to 0.1)
15–24 years, AL ,"670,520","3,814 (3,628 to 4,022)",3%,0.6 (0.5 to 0.6)
25–44 years, AL ,"1,212,082","26,467 (25,651 to 27,340)",24%,2.2 (2.1 to 2.3)
45–64 years, AL ,"1,260,860","46,328 (44,951 to 47,792)",42%,3.7 (3.6 to 3.8)
65+ years, AL ,"715,991","32,003 (31,133 to 33,386)",29%,4.5 (4.3 to 4.7)
Non-Hispanic white, AL ,"3,138,718","40,342 (39,093 to 41,892)",37%,1.3 (1.2 to 1.3)
Non-Hispanic black, AL ,"1,245,631","46,249 (44,812 to 48,044)",42%,3.7 (3.6 to 3.9)
Hispanic, AL ,"186,683","16,172 (15,740 to 16,634)",15%,8.7 (8.4 to 8.9)
Asian or other race/ethnicity, AL ,"138,339","6,581 (6,404 to 6,771)",6%,4.8 (4.6 to 4.9)
Total estimated number of persons with LTBI, AR ,"2,858,387","85,874 (83,123 to 89,179)",100%,3.0 (2.9 to 3.1)
With solid organ transplant (SOT), AR ,NA,0,0%,
With HIV coinfection but not SOT, AR ,NA,160 (155 to 166),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, AR ,NA,50 (49 to 52),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", AR ,NA,823 (796 to 856),1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), AR ,NA,"6,432 (6,219 to 6,681)",7%,
None of the below medical risk factors reported, AR ,NA,"78,410 (75,905 to 81,424)",91%,
1–14 years, AR ,"547,319","3,405 (3,127 to 3,707)",4%,0.6 (0.6 to 0.7)
15–24 years, AR ,"370,152","5,222 (4,963 to 5,514)",6%,1.4 (1.3 to 1.5)
25–44 years, AR ,"737,069","20,100 (19,500 to 20,740)",23%,2.7 (2.6 to 2.8)
45–64 years, AR ,"741,701","32,338 (31,397 to 33,337)",38%,4.4 (4.2 to 4.5)
65+ years, AR ,"462,146","24,809 (24,135 to 25,882)",29%,5.4 (5.2 to 5.6)
Non-Hispanic white, AR ,"2,068,744","37,474 (36,282 to 38,993)",44%,1.8 (1.8 to 1.9)
Non-Hispanic black, AR ,"453,587","19,203 (18,587 to 19,987)",22%,4.2 (4.1 to 4.4)
Hispanic, AR ,"193,038","12,640 (12,242 to 13,062)",15%,6.5 (6.3 to 6.8)
Asian or other race/ethnicity, AR ,"143,019","16,557 (16,013 to 17,138)",19%,11.6 (11.2 to 12.0)
Total estimated number of persons with LTBI, AZ ,"6,550,609","186,566 (180,916 to 192,868)",100%,2.8 (2.8 to 2.9)
With solid organ transplant (SOT), AZ ,NA,51 (49 to 53),0%,
With HIV coinfection but not SOT, AZ ,NA,628 (609 to 650),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, AZ ,NA,424 (411 to 439),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", AZ ,NA,"1,224 (1,186 to 1,268)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), AZ ,NA,"17,643 (17,104 to 18,256)",9%,
None of the below medical risk factors reported, AZ ,NA,"166,597 (161,557 to 172,202)",89%,
1–14 years, AZ ,"1,223,891","4,615 (4,235 to 5,023)",2%,0.4 (0.3 to 0.4)
15–24 years, AZ ,"915,881","17,577 (16,796 to 18,442)",9%,1.9 (1.8 to 2.0)
