coreproject,pmid,applid,title,journal,year,doi,pmc,grants,authors,citation
R01NS105691,38951525,11055066,Low-intensity pulsed ultrasound stimulation (LIPUS) modulates microglial activation following intracortical microelectrode implantation.,Nat Commun,2024,10.1038/s41467-024-49709-9,11217463,[],"['Li F', 'Gallego J', 'Tirko NN', 'Greaser J', 'Bashe D', 'Patel R', 'Shaker E', 'Van Valkenburg GE', 'Alsubhi AS', 'Wellman S', 'Singh V', 'Padilla CG', 'Gheres KW', 'Broussard JI', 'Bagwell R', 'Mulvihill M', 'Kozai TDY']","Li F, et al. Low-intensity pulsed ultrasound stimulation (LIPUS) modulates microglial activation following intracortical microelectrode implantation. Low-intensity pulsed ultrasound stimulation (LIPUS) modulates microglial activation following intracortical microelectrode implantation. 2024; 15:5512. doi: 10.1038/s41467-024-49709-9"
R01CA281801,38331430,10896444,Evaluating CD133 as a Radiotheranostic Target in Small-Cell Lung Cancer.,Mol Pharm,2024,10.1021/acs.molpharmaceut.3c01063,10915790,[],"['Sarrett SM', 'Rodriguez C', 'Delaney S', 'Hosny MM', 'Sebastiano J', 'Santos-Coquillat A', 'Keinänen OM', 'Carter LM', 'Lastwika KJ', 'Lampe PD', 'Zeglis BM']","Sarrett SM, et al. Evaluating CD133 as a Radiotheranostic Target in Small-Cell Lung Cancer. Evaluating CD133 as a Radiotheranostic Target in Small-Cell Lung Cancer. 2024; 21:1402-1413. doi: 10.1021/acs.molpharmaceut.3c01063"
R01CA281682,38798647,10844584,Radiation-Induced Cellular Plasticity: A Strategy for Combatting Glioblastoma.,bioRxiv,2024,10.1101/2024.05.13.593985,11118449,[],"['He L', 'Azizad D', 'Bhat K', 'Ioannidis A', 'Hoffmann CJ', 'Arambula E', 'Bhaduri A', 'Kornblum HI', 'Pajonk F']","He L, et al. Radiation-Induced Cellular Plasticity: A Strategy for Combatting Glioblastoma. Radiation-Induced Cellular Plasticity: A Strategy for Combatting Glioblastoma. 2024; (unknown volume):(unknown pages). doi: 10.1101/2024.05.13.593985"
R01CA281682,40009641,10844584,Radiation-induced cellular plasticity primes glioblastoma for forskolin-mediated differentiation.,Proc Natl Acad Sci U S A,2025,10.1073/pnas.2415557122,11892679,[],"['He L', 'Azizad D', 'Bhat K', 'Ioannidis A', 'Hoffmann CJ', 'Arambula E', 'Eghbali M', 'Bhaduri A', 'Kornblum HI', 'Pajonk F']","He L, et al. Radiation-induced cellular plasticity primes glioblastoma for forskolin-mediated differentiation. Radiation-induced cellular plasticity primes glioblastoma for forskolin-mediated differentiation. 2025; 122:e2415557122. doi: 10.1073/pnas.2415557122"
R01CA293995,39430879,10973136,Early-life obesogenic environment integrates immunometabolic and epigenetic signatures governing neuroinflammation.,Brain Behav Immun Health,2024,10.1016/j.bbih.2024.100879,11490928,[],"['Ontiveros-Ángel P', 'Vega-Torres JD', 'Simon TB', 'Williams V', 'Inostroza-Nives Y', 'Alvarado-Crespo N', 'Gonzalez YV', 'Pompolius M', 'Katzka W', 'Lou J', 'Sharafeddin F', 'De la Peña I', 'Dong T', 'Gupta A', 'Viet CT', 'Febo M', 'Obenaus A', 'Nair A', 'Figueroa JD']","Ontiveros-Ángel P, et al. Early-life obesogenic environment integrates immunometabolic and epigenetic signatures governing neuroinflammation. Early-life obesogenic environment integrates immunometabolic and epigenetic signatures governing neuroinflammation. 2024; 42:100879. doi: 10.1016/j.bbih.2024.100879"
R01ES035504,26106137,10877363,Assessing the carcinogenic potential of low-dose exposures to chemical mixtures in the environment: focus on the cancer hallmark of tumor angiogenesis.,Carcinogenesis,2015,10.1093/carcin/bgv036,4492067,[],"['Hu Z', 'Brooks SA', 'Dormoy V', 'Hsu CW', 'Hsu HY', 'Lin LT', 'Massfelder T', 'Rathmell WK', 'Xia M', 'Al-Mulla F', 'Al-Temaimi R', 'Amedei A', 'Brown DG', 'Prudhomme KR', 'Colacci A', 'Hamid RA', 'Mondello C', 'Raju J', 'Ryan EP', 'Woodrick J', 'Scovassi AI', 'Singh N', 'Vaccari M', 'Roy R', 'Forte S', 'Memeo L', 'Salem HK', 'Lowe L', 'Jensen L', 'Bisson WH', 'Kleinstreuer N']","Hu Z, et al. Assessing the carcinogenic potential of low-dose exposures to chemical mixtures in the environment: focus on the cancer hallmark of tumor angiogenesis. Assessing the carcinogenic potential of low-dose exposures to chemical mixtures in the environment: focus on the cancer hallmark of tumor angiogenesis. 2015; 36 Suppl 1:S184-202. doi: 10.1093/carcin/bgv036"
R01CA199044,33377758,10998122,"Sparse-view, short-scan, dedicated cone-beam breast computed tomography: image quality assessment.",Biomed Phys Eng Express,2020,10.1088/2057-1976/abb834,8004539,[],"['Tseng HW', 'Karellas A', 'Vedantham S']","Tseng HW, et al. Sparse-view, short-scan, dedicated cone-beam breast computed tomography: image quality assessment. Sparse-view, short-scan, dedicated cone-beam breast computed tomography: image quality assessment. 2020; 6:(unknown pages). doi: 10.1088/2057-1976/abb834"
R01CA199044,35431425,10998122,Breast Cancer Screening: Opportunities and Challenges with Fully 3D Tomographic X-Ray Imaging.,Bridge (Wash D C),2022,,9012464,[],"['Vedantham S', 'Karellas A']",Vedantham S and Karellas A. Breast Cancer Screening: Opportunities and Challenges with Fully 3D Tomographic X-Ray Imaging. Breast Cancer Screening: Opportunities and Challenges with Fully 3D Tomographic X-Ray Imaging. 2022; 52:33-42.
R01CA199044,32361156,10998122,"Cone-beam breast computed tomography using ultra-fast image reconstruction with constrained, total-variation minimization for suppression of artifacts.",Phys Med,2020,10.1016/j.ejmp.2020.04.020,7295390,[],"['Tseng HW', 'Vedantham S', 'Karellas A']","Tseng HW, et al. Cone-beam breast computed tomography using ultra-fast image reconstruction with constrained, total-variation minimization for suppression of artifacts. Cone-beam breast computed tomography using ultra-fast image reconstruction with constrained, total-variation minimization for suppression of artifacts. 2020; 73:117-124. doi: 10.1016/j.ejmp.2020.04.020"
R01CA199044,32333575,10998122,Dedicated cone-beam breast CT using laterally-shifted detector geometry: Quantitative analysis of feasibility for clinical translation.,J Xray Sci Technol,2020,10.3233/XST-200651,7347391,[],"['Vedantham S', 'Tseng HW', 'Konate S', 'Shi L', 'Karellas A']","Vedantham S, et al. Dedicated cone-beam breast CT using laterally-shifted detector geometry: Quantitative analysis of feasibility for clinical translation. Dedicated cone-beam breast CT using laterally-shifted detector geometry: Quantitative analysis of feasibility for clinical translation. 2020; 28:405-426. doi: 10.3233/XST-200651"
R01CA199044,33373981,10998122,Optical conductivity of triple point fermions.,J Phys Condens Matter,2021,10.1088/1361-648X/abd739,,[],"['Habibi A', 'Farajollahpour T', 'Jafari SA']","Habibi A, et al. Optical conductivity of triple point fermions. Optical conductivity of triple point fermions. 2021; 33:(unknown pages). doi: 10.1088/1361-648X/abd739"
R01CA199044,38172250,10998122,An attenuation field network for dedicated cone beam breast CT with short scan and offset detector geometry.,Sci Rep,2024,10.1038/s41598-023-51077-1,10764954,[],"['Fu Z', 'Tseng HW', 'Vedantham S']","Fu Z, et al. An attenuation field network for dedicated cone beam breast CT with short scan and offset detector geometry. An attenuation field network for dedicated cone beam breast CT with short scan and offset detector geometry. 2024; 14:319. doi: 10.1038/s41598-023-51077-1"
R01CA199044,36427332,10998122,Dedicated cone-beam breast CT: Data acquisition strategies based on projection angle-dependent normalized glandular dose coefficients.,Med Phys,2023,10.1002/mp.16129,10207937,[],"['Tseng HW', 'Karellas A', 'Vedantham S']","Tseng HW, et al. Dedicated cone-beam breast CT: Data acquisition strategies based on projection angle-dependent normalized glandular dose coefficients. Dedicated cone-beam breast CT: Data acquisition strategies based on projection angle-dependent normalized glandular dose coefficients. 2023; 50:1406-1417. doi: 10.1002/mp.16129"
R01CA199044,29317032,10998122,Newer Technologies in Breast Cancer Imaging: Dedicated Cone-Beam Breast Computed Tomography.,Semin Ultrasound CT MR,2018,10.1053/j.sult.2017.09.001,5957539,[],"[""O'Connell AM"", 'Karellas A', 'Vedantham S', ""Kawakyu-O'Connor DT""]","O'Connell AM, et al. Newer Technologies in Breast Cancer Imaging: Dedicated Cone-Beam Breast Computed Tomography. Newer Technologies in Breast Cancer Imaging: Dedicated Cone-Beam Breast Computed Tomography. 2018; 39:106-113. doi: 10.1053/j.sult.2017.09.001"
