Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Annual Revenue,Tags,2025,,,,,,,2024,,,,,,2023,,,,2022,,2021,,2020,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011
,,,,,,,,Videos,Views,Featured,Pledged,Form 990,P4ALink,Status,Videos,Views,Featured,Pledged,Form 990,Status,Featured,Pledged,Form 990,Status,Pledged,Form 990,Pledged,Form 990,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged
Year total,,,,,,,,146,0,0,$0.00,$0.00,,,319,72277,23,"$2,526,605.93",$0.00,,29,"$2,094,250.90","$2,094,256.00",,"$2,001,736.06","$2,033,784.00","$1,614,648.63","$1,695,202.00","$780,096.00","$643,929.34","$833,620.00","$827,648.30","$933,231.00","$928,818.00","$1,010,846.00","$1,010,845.86","$1,090,864.00","$1,090,864.34","$984,338.00","$1,093,564.46","$890,383.00","$752,046.80","$364,500.00","$405,000.00","$74,951.95","$74,951.95"
Alzheimer's Society,$0.00,"$40,500.00",http://alzheimers.org.uk/,,31-1815826,$0,Alzheimer's; Health; Voluntary health associations & medical disciplines,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,"$40,500.00",,
Barefoot Shakespeare Company,0,0,https://barefootshakespeare.org/,,46-3032682,$0,"Arts, culture & humanities; Community improvement",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cage to Couch,$0.00,$0.00,https://cagetocouch.org/,,88-1759107,$0,Animal-related,,,,,,,,1,199,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign Against Living Miserably,$0.00,"$37,297.09",https://www.thecalmzone.net/,,46-2899557,$0,Crime & legal-related; Mental health,,,,,,,,3,1588,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
"Carabiner Collections, Inc.",$0.00,"$37,297.09",https://www.carabinercollections.org/,,93-4688929,$0,Education; Libraries,,,,,,,,1,1055,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
Carolina Manga Library,$0.00,$0.00,https://carolinamangalibrary.com/,,47-1170699,$0,Education,,,,,,,,1,178,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattanooga Free Store,0,0,http://www.chattfreestore.org,,87-2749722,$0,Healthcare; Human services; Poverty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Wivholm Foundation,0,0,https://chriswivholm.org/,,83-0637863,$0,Mental health; Mental health & crisis intervention; Science and technology,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
