,Charity,Website,Passthrough,EIN,Tags,Annual Revenue,Total grants,Number of grants,Most recent grant,Videos this year,All Videos,Last featured
0,Planned Parenthood,https://www.plannedparenthood.org/,,13-1644147,Health; Health care,"$378,167,827.00","$97,422",4,2021,0,0,
1,TECHO,http://www.techo.org/en,,27-1479398,Human services,"$1,514,335.00","$90,500",2,2014,0,0,
2,CAF America,,,43-1634280,"Philanthropy, voluntarism & grantmaking foundations","$816,418,831.00","$9,123",2,2019,0,0,
3,Heifer International,https://web.archive.org/web/20221006153536/https://www.heifer.org/,,35-1019477,"Economic development; Hunger; International, foreign affairs & national security; Poverty","$149,689,145.00","$87,054",4,2019,1,1,
4,Sarcoma Foundation of America,http://www.curesarcoma.org/,,52-2275294,"Arts, culture & humanities; Cancer; Health","$3,709,252.00","$82,500",1,2014,0,0,
5,Wildlife Waystation,https://wildlifewaystation.org/,,95-3190812,Animal-related; Environment,"$565,669.00","$78,899",3,2019,0,0,
6,Sister Garczynska's Foundation,https://foundationgarczynska.wordpress.com/,CAF America,,,,"$78,488",4,2019,0,0,
7,Drag Story Hour,dragstoryhour.org,,86-2721367,"Arts, culture & humanities; Children; Education; Lgbtq+ rights","$309,839.00","$76,139",2,2025,1,2,2025
8,A Cat's Life Rescue,www.acatsliferescue.org,,83-1610305,Animal-related; Animals,"$205,594.00","$76,139",2,2025,1,3,
9,Campaign Against Living Miserably,https://www.thecalmzone.net/,,46-2899557,Crime & legal-related; Mental health,$0.00,"$76,138",2,2025,1,10,2025
10,ProVeg International,https://proveg.org/,,46-3038496,Animals; Education; Health,"$8,155,427.00","$76,138",2,2025,1,10,2025
11,Liberty in North Korea,http://www.libertyinnorthkorea.org/,,73-1710135,"Human rights; International, foreign affairs & national security","$4,487,447.00","$75,000",2,2016,3,3,
12,Legacy Youth Leadership,https://legacyyouthleadership.org/,,81-2177352,Public & societal benefit; Youth services,"$2,268,114.00","$68,972",2,2023,10,37,
13,No Means No Worldwide,https://www.nomeansnoworldwide.org/,,46-4183160,Crime & legal-related; Human rights; Sexual violence; Women's rights,"$1,060,083.00","$68,972",2,2023,1,3,
14,National Center For Transgender Equality,https://transequality.org/,,41-2090291,"Civil rights, social action & advocacy; Lgbtq+ rights","$4,093,660.00","$68,972",2,2023,0,0,2023
15,UNICEF,https://www.unicef.org/,,13-1760110,"Disaster relief; Health; Human services; International, foreign affairs & national security","$829,050,932.00","$65,204",3,2022,0,0,
16,The Humane League,https://thehumaneleague.org/,,04-3817491,Animal-related; Animals,"$18,482,492.00","$59,678",2,2022,2,19,2023
17,Trees for the Future,https://trees.org/,,52-1644869,Environment,"$13,015,821.00","$59,678",2,2022,1,1,
18,Kiva,https://www.kiva.org/,,71-0992446,"Economic development; International, foreign affairs & national security; Poverty","$34,727,565.00","$58,385",3,2014,0,0,
19,Feeding America,https://www.feedingamerica.org/,,36-3673599,"Food, agriculture & nutrition; Hunger","$4,916,912,461.00","$52,859",2,2021,1,1,
20,Pencils for Kids,http://www.pencilsforkids.com/,,27-2324554,Education,,"$50,205",2,2015,0,0,
21,Child's Play,http://www.childsplaycharity.org/,,20-3584556,Health care; Human services,"$3,714,680.00","$50,000",1,2014,0,0,
22,Partners for Mental Health,http://www.partnersformh.ca/,,,Mental health,,"$50,000",1,2014,0,0,
23,UNHCR,https://www.unhcr.org/en-us/,,52-1662800,"Human rights; International, foreign affairs & national security; Refugees","$147,651,730.00","$485,470",6,2023,0,0,
24,Alzheimer's Association,https://www.alz.org/,,13-3039601,Alzheimer's; Health; Voluntary health associations & medical disciplines,"$412,425,302.00","$47,422",2,2021,0,0,
25,Ultimate Peace,http://www.ultimatepeace.org/,,27-2840618,"International, foreign affairs & national security; War","$526,562.00","$44,768",2,2018,0,0,
