,Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Tags,2025,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,2024,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,2023,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,2022,Unnamed: 25_level_0,2021,Unnamed: 27_level_0,2020,2019,Unnamed: 30_level_0,2018,Unnamed: 32_level_0,2017,Unnamed: 34_level_0,2016,Unnamed: 36_level_0,2015,Unnamed: 38_level_0,2014,Unnamed: 40_level_0,2013,Unnamed: 42_level_0,2012,Unnamed: 44_level_0,2011
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Videos,Views,Featured,Pledged,Form 990,P4ALink,Status,Videos,Views,Featured,Pledged,Form 990,Status,Featured,Pledged,Form 990,Status,Pledged,Form 990,Pledged,Form 990,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged
,Year total,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2,0,0,0,$0.00,$0.00,Unnamed: 12_level_2,Unnamed: 13_level_2,319,72277,23,"$2,526,605.93",$0.00,Unnamed: 19_level_2,28,"$2,094,250.90","$1,601,348.00",Unnamed: 23_level_2,"$2,001,736.06","$2,033,784.00","$1,614,648.63","$1,695,202.00","$780,096.00","$643,929.34","$833,620.00","$827,648.30","$933,231.00","$928,818.00","$1,010,846.00","$1,010,845.86","$1,090,864.00","$1,090,864.34","$984,338.00","$1,093,564.46","$890,383.00","$752,046.80","$364,500.00","$405,000.00","$74,951.95","$74,951.95"
0,Partners in Health,"$2,401,873.00","$3,033,847.24",https://www.pih.org/,,04-3567502,Health,,,,,,,guaranteed,,,,"$684,967.38",,guaranteed,,"$492,908.15","$492,908.00",guaranteed,"$520,519.13","$520,520.00","$429,069.79","$455,566.00","$172,048.00","$145,551.47","$199,574.00","$199,573.63",,,"$269,533.00","$269,533.28",,,"$291,724.00","$291,724.41",,,,,,
1,Save the Children,"$3,027,852.00","$3,659,776.85",https://www.savethechildren.org/,,06-0726487,Human rights; Children; Refugees,,,,,,,guaranteed,1.0,40.0,,"$684,967.38",,guaranteed,,"$492,908.15","$492,908.00",guaranteed,"$520,519.13","$520,520.00","$383,628.79","$410,125.00","$172,048.00","$145,551.47","$180,943.00","$180,943.15","$237,702.00","$237,652.00","$272,033.00","$272,033.28","$359,349.00","$359,349.09","$291,724.00","$291,724.41","$50,000.00","$50,000.00","$40,500.00","$40,500.00",,
2,American Library Association,"$36,948.00","$36,947.82",https://www.ala.org/,,36-2166947,Libraries; Education,,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
3,Animal Wonders,"$68,972.00","$106,268.17",https://www.animalwonders.org/#/,,26-3339055,Animals,,,,,,,,1.0,3682.0,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
4,Asian Americans United ,"$36,948.00","$36,947.82",https://aaunited.org/,,22-2981076,Human rights,,,,,,,,1.0,151.0,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
5,Audre Lorde Project,"$68,972.00","$106,268.17",https://alp.org/,,06-1502452,Art; LGBTQ+ rights,,,,,,,,1.0,1054.0,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
6,Camp Lilac,"$36,948.00","$74,244.91",https://www.camplilac.org/,GenderSphere,82-0712841,LGBTQ+ rights; Children,,,,,,,,2.0,626.0,,"$37,297.09",,fund not feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
7,Center for Reproductive Rights,"$36,948.00","$36,947.82",https://reproductiverights.org/,,13-3669731,Human rights,,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
8,Earthjustice,"$174,393.00","$208,899.13",https://earthjustice.org/,,94-1730465,Environment; Policy,,,,,,,,1.0,2787.0,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$21,928.00","$21,927.93",,,,,,,,,,
9,Ecology Project International,"$114,066.00","$133,921.62",https://www.ecologyproject.org/,,91-2163952,Environment,,,,,,,,19.0,1181.0,,"$37,297.09",,fund not feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00",,,,,,,,,,,,,,,,,
10,Fandom Forward,"$351,145.78","$385,651.98",https://fandomforward.org/,,20-8045792,Community organizing,,,,,,,,4.0,529.0,,"$37,297.09",,fund not feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$50,000.00","$50,000.00","$40,500.00","$40,500.00",33180.78,33180.78
