,Charity,Website,Passthrough,EIN,Tags,Annual revenue
0,3 Bluebirds Farm,WWW.3BLUEBIRDSFARM.ORG,,30-0715917,Agriculture; Human services; Sustainability,"$345,367"
1,A Cat's Life Rescue,www.acatsliferescue.org,,83-1610305,Animal-related; Animals,"$205,594"
2,A Moment of Magic Foundation,AMOMENTOFMAGIC.ORG,,81-1740360,"Philanthropy, voluntarism & grantmaking foundations; Social services","$372,210"
3,A child a dream a future - Un enfant un rêve un avenir,https://unenfantunreveunavenir.org/,,,Children and youth,
4,ACLU,https://www.aclu.org/,,13-6213516,"Civil rights, social action & advocacy; Human rights","$201,181,635"
5,ACTRA,https://www.actra.ngo/,,,Community improvement,
6,APOPO Herorats,https://www.apopo.org/en/,,47-1389723,Health; Human rights; Human services; Tuberculosis; War,"$1,489,234"
7,ASISTA Immigration Assistance,WWW.ASISTAHELP.ORG,,26-3233209,Human rights; Human services; Immigration,"$682,219"
8,Acceptess-T,https://www.helloasso.com/associations/acceptess-t/formulaires/2,,,Housing and shelter; Lgbtq+; Poverty,
9,Access to Medicines Initiative,https://www.accessmedicines.org/,,27-6601178,"Healthcare; Human rights; Philanthropy, voluntarism & grantmaking foundations","$37,465,428"
10,Action Against Hunger,http://www.actionagainsthunger.org/,,13-3327220,"Hunger; International, foreign affairs & national security","$201,188,874"
11,Actors Fund,https://actorsfund.org/,,13-1635251,Art; Labor; Mutual & membership benefit,"$99,407,081"
12,Against Malaria Foundation,https://www.againstmalaria.com/,,20-3069841,Health; Malaria; Voluntary health associations & medical disciplines,"$62,286,888"
13,All Out,https://allout.org/en/what-all-out,Tides Foundation,51-0198509,"Human rights; Lgbtq+; Philanthropy, voluntarism & grantmaking foundations","$350,128,498"
14,Alliance for Building Communities,WWW.HOUSING-ABC.ORG,,23-2041406,Community services; Housing; Housing & shelter,"$1,818,738"
15,Alveus Sanctuary,http://www.alveussanctuary.org,,86-1772907,Animal-related; Animals,"$849,155"
16,Alzheimer's Association,https://www.alz.org/,,13-3039601,Alzheimer's; Health; Voluntary health associations & medical disciplines,"$412,425,302"
17,Alzheimer's Society,http://alzheimers.org.uk/,,31-1815826,Alzheimer's; Health; Voluntary health associations & medical disciplines,$0
18,American Foundation for Suicide Prevention,https://www.afsp.org/,,13-3393329,Mental health; Mental health & crisis intervention,"$47,990,598"
19,American Humane Society,https://www.americanhumane.org/,,84-0432950,Animal-related; Animals,"$25,898,245"
20,American Library Association,https://www.ala.org/,,36-2166947,Education; Libraries,"$60,808,253"
21,Amigxs Del M.A.R.,https://www.paypal.com/donate/?hosted_button_id=4U72ZR8SMCJVQ&source=qr,,66-0864878,Animals; Civil rights and advocacy; Community improvement; Education; Environment; Environment and conservation,
22,Amnesty International,https://www.amnesty.org/en/,,52-0851555,"Human rights; International, foreign affairs & national security; Refugees","$63,084,650"
23,Animal Advocacy Africa,https://www.animaladvocacyafrica.org/,,,Animals,
24,Animal Advocacy Careers,https://animaladvocacycareers.org/,,86-1554905,Animal-related,"$387,632"
25,Animal Charity Evaluators,https://animalcharityevaluators.org/,,36-4684978,Animal-related,"$5,903,283"
26,Animal Equality,https://animalequality.org/,,47-2420444,Animal-related; Animals,"$4,464,178"
27,Animal Sanctuary Aurora,,,,Animals; Civil rights and advocacy,
