legal,rs,Category,Title,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
,,,"From FightWorldSuck.org ""Previous Grants""",,,,<- February,,December ->,,,,,,,,
0,Spending,Grants,Grants,"$2,526,605.93","$2,094,250.90","$2,001,736.06","$1,614,648.63",,"$643,929.34","$827,648.30","$928,818.00","$1,010,845.86","$1,090,864.34","$1,093,564.46","$752,046.80","$405,000.00","$74,951.95"
,,,,,,,,,,,,,,,,,
,,,From ProjectForAwesome.com About,,,,,,,,,,,,,,
0,Revenue,Revenue,P4A revenue,"$3,530,889.00","$3,070,774.29","$3,235,161.42","$2,367,704.42",,"$1,436,285.00","$1,642,016.00","$2,035,336.00","$2,159,256.00","$1,553,737.00",,,,
,,,P4A revenue without external donors or bank account,"$2,830,889.00","$2,670,774.29","$2,589,659.42","$2,067,704.42",,"$1,049,679.00","$1,087,994.00","$1,321,836.00","$1,359,256.00","$1,203,737.00",$0.00,$0.00,$0.00,
0,Revenue,Revenue,Crowdfunding,"$1,755,169.00","$1,785,307.29","$2,022,239.42","$1,489,700.42",,"$740,913.00","$732,608.00","$812,224.00","$872,277.00","$747,083.00",,,,
0,Revenue,Revenue,External Donors,"$700,000.00","$400,000.00","$600,000.00","$300,000.00",,"$386,606.00","$554,022.00","$713,500.00","$800,000.00","$350,000.00",,,,
0,Revenue,Revenue,FTDWS Bank Account,"$108,830.00","$161,285.00","$45,502.00","$51,042.00",,"$37,341.00","$78,196.00","$146,377.00","$110,929.00","$80,000.00",,,,
0,Revenue,Revenue,Other,,$0.00,$0.00,$0.00,,$0.00,$440.00,"$24,561.00",$0.00,"$126,654.00",,,,
0,Revenue,Revenue,Community Matching (First Half),"$611,823.00","$516,244.00","$417,514.00","$415,000.00",,"$250,000.00","$225,100.00","$300,000.00","$350,000.00","$250,000.00",,,,
0,Revenue,Revenue,Community Matching (Second Half),"$355,067.00","$207,938.00","$149,906.00","$111,962.00",,"$21,425.00","$51,650.00","$38,674.00","$26,050.00",$0.00,,,,
,,,,,,,,,,,,,,,,,
,,,From statement of activity,,,,,,,,,,,,,,
,,,Revenue,,,,,,,,,,,,,,
1,Revenue,Revenue,DFTBA Royalty,,"$4,858.93","$10,520.08","$11,640.08","$1,317.33","$48,624.24","$28,275.12","$2,345.99",$558.71,$887.90,$507.00,"$6,985.20",,
1,Revenue,Revenue,Discounts/refunds given,,,,,,,-$210.00,,,,-$500.00,,,
1,Revenue,Revenue,Individual Giving,,,"$213,748.29","$912,065.08","$103,692.80","$116,361.79","$143,190.45","$139,568.74","$124,733.05","$317,495.25","$111,199.94","$50,000.00",,
1,Revenue,Revenue,Other fundraising,,,,,,,,,,"$2,760.00","$30,359.41",,,
1,Revenue,Revenue,P4A Income,,"$2,563,668.00","$1,964,449.08","$971,230.24",,"$741,018.40","$1,544,713.60","$1,185.28","$1,485,705.26","$730,741.60","$662,352.06","$217,628.37","$32,923.04",67951.84
1,Revenue,Revenue,P4A Matching Funds,,,"$324,390.96","$31,192.00",,,,"$50,000.00","$141,688.10","$200,000.00","$100,000.00",,,
1,Revenue,Revenue,Paypal other,,,,,,,,,,,"$54,674.59","$168,000.00",,
1,Revenue,Revenue,Sales,,,,,,,,$345.00,,,,,"$3,837.60",
1,Revenue,Revenue,Vlogbrothers donation,,,,,"$3,678.28","$23,474.26","$48,477.96","$133,525.22","$59,158.79","$63,358.50","$40,255.71",,,
1,Revenue,Revenue,Interest earned,,$296.00,,,,,,,,,,,,
,,,Total Revenue,,"$2,568,823.00","$2,513,108.41","$1,926,127.40","$108,688.41","$929,478.69","$1,764,447.13","$326,970.23","$1,811,843.91","$1,315,243.25","$998,848.71","$442,613.58","$36,760.64",
,,,,,,,,,,,,,,,,,
,,,Credit card fees,,,,,,,,,,,,,,
1,Spending,Credit card fees,Amazon Fees,,,,"$1,847.80",,,,,,,,,,
1,Spending,Credit card fees,Paypal Fees ,,,"$70,018.79","$56,453.37","$1,302.79","$1,313.71","$2,002.53","$1,842.69","$1,812.02","$1,158.74",,,,
1,Spending,Credit card fees,Shopify Fees,,,,,,,,,$96.13,$427.94,,,,
