,legal,rs,category,title,x,year,Amount
0,1.0,revenue,Revenue,P4A Income,2011 revenue,2011,67951.84
1,1.0,revenue,Revenue,P4A Income,2012 revenue,2012,32923.04
2,1.0,revenue,Revenue,P4A Income,2013 revenue,2013,217628.37
3,1.0,revenue,Revenue,P4A Income,2014 revenue,2014,662352.06
4,1.0,revenue,Revenue,P4A Income,2015 revenue,2015,730741.6
5,1.0,revenue,Revenue,P4A Income,2016 revenue,2016,1485705.26
6,1.0,revenue,Revenue,P4A Income,2017 revenue,2017,1185.28
7,1.0,revenue,Revenue,P4A Income,2018 revenue,2018,1544713.6
8,1.0,revenue,Revenue,P4A Income,2019 revenue,2019,741018.4
9,1.0,revenue,Revenue,P4A Income,2021 revenue,2021,971230.24
10,1.0,revenue,Revenue,P4A Income,2022 revenue,2022,1964449.08
11,1.0,revenue,Revenue,P4A Income,2023 revenue,2023,2563668.0
12,1.0,revenue,Revenue,P4A Income,2024 revenue,2024,2881501.0
13,1.0,revenue,Revenue,P4A Income,"2025 revenue (Website, Excluding external donors)",2025,2989918.0
14,0.0,revenue,Revenue,External Donors,2015 revenue,2015,350000.0
15,0.0,revenue,Revenue,External Donors,2016 revenue,2016,800000.0
16,0.0,revenue,Revenue,External Donors,2017 revenue,2017,713500.0
17,0.0,revenue,Revenue,External Donors,2018 revenue,2018,554022.0
18,0.0,revenue,Revenue,External Donors,2019 revenue,2019,386606.0
19,0.0,revenue,Revenue,External Donors,2021 revenue,2021,300000.0
20,0.0,revenue,Revenue,External Donors,2022 revenue,2022,600000.0
21,0.0,revenue,Revenue,External Donors,2023 revenue,2023,400000.0
22,0.0,revenue,Revenue,External Donors,2024 revenue,2024,700000.0
23,0.0,revenue,Revenue,External Donors,2025 revenue,2025,750000.0
24,1.0,revenue,Revenue,Sales,2012 revenue,2012,3837.6
25,1.0,revenue,Revenue,Individual Giving,2013 revenue,2013,50000.0
26,1.0,revenue,Revenue,Paypal other,2013 revenue,2013,168000.0
27,1.0,revenue,Revenue,DFTBA Royalty,2013 revenue,2013,6985.2
28,1.0,revenue,Revenue,Vlogbrothers donation,2014 revenue,2014,40255.71
29,1.0,revenue,Revenue,Paypal other,2014 revenue,2014,54674.59
30,1.0,revenue,Revenue,P4A Matching Funds,2014 revenue,2014,100000.0
31,1.0,revenue,Revenue,Other fundraising,2014 revenue,2014,30359.41
32,1.0,revenue,Revenue,DFTBA Royalty,2014 revenue,2014,507.0
33,1.0,revenue,Revenue,Individual Giving,2014 revenue,2014,111199.94
34,1.0,revenue,Revenue,P4A Matching Funds,2015 revenue,2015,200000.0
35,1.0,revenue,Revenue,Other fundraising,2015 revenue,2015,2760.0
36,1.0,revenue,Revenue,Vlogbrothers donation,2015 revenue,2015,63358.5
37,1.0,revenue,Revenue,Individual Giving,2015 revenue,2015,317495.25
38,1.0,revenue,Revenue,DFTBA Royalty,2015 revenue,2015,887.9
39,1.0,revenue,Revenue,Vlogbrothers donation,2016 revenue,2016,59158.79
40,1.0,revenue,Revenue,P4A Matching Funds,2016 revenue,2016,141688.1
41,1.0,revenue,Revenue,Individual Giving,2016 revenue,2016,124733.05
42,1.0,revenue,Revenue,DFTBA Royalty,2016 revenue,2016,558.71
43,1.0,revenue,Revenue,P4A Matching Funds,2017 revenue,2017,50000.0
44,1.0,revenue,Revenue,Sales,2017 revenue,2017,345.0
45,1.0,revenue,Revenue,DFTBA Royalty,2017 revenue,2017,2345.99
46,1.0,revenue,Revenue,Vlogbrothers donation,2017 revenue,2017,133525.22
47,1.0,revenue,Revenue,Individual Giving,2017 revenue,2017,139568.74
48,1.0,revenue,Revenue,Vlogbrothers donation,2018 revenue,2018,48477.96
49,1.0,revenue,Revenue,Individual Giving,2018 revenue,2018,143190.45
50,1.0,revenue,Revenue,DFTBA Royalty,2018 revenue,2018,28275.12
51,1.0,revenue,Revenue,Vlogbrothers donation,2019 revenue,2019,23474.26
52,1.0,revenue,Revenue,Individual Giving,2019 revenue,2019,116361.79
53,1.0,revenue,Revenue,DFTBA Royalty,2019 revenue,2019,48624.24
54,1.0,revenue,Revenue,Vlogbrothers donation,2020 revenue,2020,3678.28
55,1.0,revenue,Revenue,Individual Giving,2020 revenue,2020,103692.8
56,1.0,revenue,Revenue,DFTBA Royalty,2020 revenue,2020,1317.33
57,1.0,revenue,Revenue,DFTBA Royalty,2021 revenue,2021,11640.08
58,1.0,revenue,Revenue,Individual Giving,2021 revenue,2021,912065.08
59,1.0,revenue,Revenue,P4A Matching Funds,2021 revenue,2021,31192.0
60,1.0,revenue,Revenue,DFTBA Royalty,2022 revenue,2022,10520.08
61,1.0,revenue,Revenue,P4A Matching Funds,2022 revenue,2022,324390.96
62,1.0,revenue,Revenue,Individual Giving,2022 revenue,2022,213748.29
63,1.0,revenue,Revenue,Interest earned,2023 revenue,2023,296.0
