Charity,All time funding (990),All time pledged,Website,Tags,2026 Videos
Print the Love,0,0,,Children and youth; Poverty; Arts and culture,1
Project Purple,0,0,,Healthcare,1
Open AIR,0,0,,Arts and culture,1
Grassroots Comedy,0,0,,Civil rights and advocacy; Arts and culture,1
"Milton Marks Neuro-Oncology Family Camp, a project of Community Initiatives",0,0,,Children and youth; Healthcare; Mental health; Arts and culture,1
GiveInternet.org,0,0,,Education; Community improvement; Human rights; Children and youth; Employment; Poverty,2
Union of Concerned Scientists,0,0,,Science and technology; Civil rights and advocacy; Environment and conservation; Employment,1
New Meaning Foundation,0,0,,Children and youth; Education; Community improvement,1
Lunch Break,0,0,,"Hunger, food, and nutrition; Poverty; Community improvement",1
Feeding Our Communities Partners,0,0,,"Hunger, food, and nutrition",1
Project Guardian,0,0,,Children and youth; Disability; Healthcare,1
Stephanie Nicole Parze Foundation,0,0,,Crime and legal services; Mental health; Community improvement,1
The Midas Project,0,0,,Civil rights and advocacy; Science and technology,1
22 Jumps,0,0,,Mental health; Science and technology; Community improvement,1
Chef Ann Foundation,0,0,,"Hunger, food, and nutrition",1
We Are TB,0,0,,Disability; Healthcare; Civil rights and advocacy; Community improvement,1
Raiden Science Foundation,0,0,,Children and youth; Healthcare; Science and technology,1
Tailored Food,0,0,,"Employment; Environment and conservation; Hunger, food, and nutrition; Community improvement; Animals",1
RAPTOR Inc.,0,0,,Children and youth; Education; Environment and conservation; Science and technology; Animals,1
Girl Rising,0,0,,Education; Community improvement; Human rights; Children and youth; Mental health; Civil rights and advocacy; Poverty,14
Become,0,0,,Children and youth; Education; Civil rights and advocacy; Community improvement,1
Art South,0,0,,Children and youth; Mental health; Community improvement; Arts and culture,1
826NYC,0,0,,Children and youth; Education; Arts and culture,1
America's Watershed Initiative (AWI),0,0,,Science and technology; Disaster preparedness and relief; Environment and conservation; Community improvement,2
Crisis Line & Safe House of Central Georgia,0,0,,Children and youth; Crime and legal services; Mental health; Sports and recreation,1
SOS Animales Nicaragua,0,0,,Education; Community improvement; Animals,1
Global Coral Reef Alliance,0,0,,Disaster preparedness and relief; Environment and conservation; Science and technology; Animals,1
SeriousFun Children's Network,0,0,,Children and youth; Disability; Healthcare; Mental health,1
National Immigration Law Center,0,0,,Human rights; Education; Immigration,2
Climate Smart Missoula,0,0,,Disaster preparedness and relief; Education; Environment and conservation; Civil rights and advocacy; Community improvement,1
Camp Fire North Shore,0,0,,Children and youth; Education,1
CASA NYC,0,0,,Children and youth,1
Heartland Sings,0,0,,Arts and culture,1
Pocono Family YMCA,0,0,,Children and youth; Sports and recreation; Community improvement,1
Breakthrough T1D,0,0,,Healthcare,1
The Doris Howell Foundation,0,0,,Healthcare,1
Tree Kangaroo Conservation Program,0,0,,Education; Employment; Healthcare; Science and technology; Animals,1
Curiosity Learning,0,0,,Children and youth; Education; Community improvement,1
Aspiritech,0,0,,Disability; Education; Employment; Mental health; Science and technology,1
Medical Aid for Palestinians,0,0,,Disability; Healthcare; Human rights; Mental health,1
The Tahirih Justice Center,0,0,,Education; Human rights; Immigration,1
Good Food Fund,0,0,,"Environment and conservation; Healthcare; Hunger, food, and nutrition; Animals",1
Wisconsin Leadership Seminars (WILS),0,0,,Children and youth; Education; Community improvement,1
FarmKind,0,0,,Animals,1
The Plural Association,0,0,,Education; Mental health; Civil rights and advocacy; Community improvement,1
Geeks OUT,0,0,,LGBTQ+; Arts and culture,1
ISKME,0,0,,Education; Civil rights and advocacy,1
BDSRA Foundation,0,0,,Children and youth; Disability; Healthcare; Science and technology,1
Giving Green,0,0,,Disaster preparedness and relief; Environment and conservation; Science and technology,1
Animal Welfare Observatory,0,0,,"Environment and conservation; Hunger, food, and nutrition; Animals",1
Adopt a Storm Drain,0,0,,Environment and conservation; Community improvement,1
Tackle Kids Cancer,0,0,,Children and youth; Healthcare; Science and technology; Community improvement,1
