,Year,Charity,Voting link,Title,url
0,2026,Not Forgotten,https://projectforawesome.com/big-news-about-the-orphanage,BIG NEWS about the orphanage,https://www.youtube.com/watch?v=Q9JcpSJwEK0
1,2026,Project Purple,https://projectforawesome.com/rossetti-brothers-pickleball-project-for-awesome-2026,Rossetti Brothers Pickleball Project for Awesome 2026,https://www.youtube.com/watch?v=ILdzPYklz4E
2,2026,Feeding America,https://projectforawesome.com/breaking-the-silence-menstrual-health-and-dignity-project-for-awesome-2026,"Breaking the Silence: Menstrual Health & Dignity (""Project for Awesome"" 2026)",https://www.youtube.com/watch?v=9tLJ4BaEH7o
3,2026,The Foundation to Decrease World Suck,https://projectforawesome.com/why-isn-t-everybody-a-nonprofit,Why Isn't Everybody a Nonprofit?!,https://www.youtube.com/watch?v=hxUvt841_Yw
4,2026,APOPO Herorats,https://projectforawesome.com/apopo-project-for-awesome-2026,APOPO: Project for Awesome 2026,https://www.youtube.com/watch?v=kOE7_Shx4fc
5,2026,Underdog Animal Rescue and Rehab,https://projectforawesome.com/underdog-project4-awesome-2026-submission,"Underdog Rescue & Rehab Moab, UT ‪@p4a‬ 2026 submission!",https://www.youtube.com/watch?v=_yka0do91hk
6,2026,Open AIR,https://projectforawesome.com/open-air-project-for-awesome-2026,Open AIR: Project For Awesome 2026,https://www.youtube.com/watch?v=wkRzb-yOrjA
7,2026,Grassroots Comedy,https://projectforawesome.com/grassroots-comedy-p4-a-2026,Grassroots Comedy - P4A 2026,https://www.youtube.com/watch?v=QM0LRL4gNQE
8,2026,Animal Equality,https://projectforawesome.com/int-project-for-awesome-2026,INT Project for Awesome 2026,https://www.youtube.com/watch?v=n8Mm-6JZJ-k
9,2026,"Milton Marks Neuro-Oncology Family Camp, a project of Community Initiatives",https://projectforawesome.com/milton-marks-neuro-oncology-family-camp-project-for-awesome-2026,Milton Marks Neuro-Oncology Family Camp Project for Awesome 2026!,https://www.youtube.com/watch?v=VdnihL7343o
10,2026,The Humane League,https://projectforawesome.com/who-we-are,Who we are,https://www.youtube.com/watch?v=mFaY3eslxAA
11,2026,Thirst Project,https://projectforawesome.com/project-for-awesome-2026-the-thirst-project,Project For Awesome 2026 - The Thirst Project,https://www.youtube.com/watch?v=xfwsK3BtV1w
12,2026,Thirst Project,https://projectforawesome.com/thirst-project-project-4-awesome-2026,Thirst Project - Project 4 Awesome 2026,https://www.youtube.com/watch?v=xrnjcR0Nrkw
13,2026,Everytown for Gun Safety,https://projectforawesome.com/project-for-awesome-submissions-hala,Project for awesome submissions HALA ,https://www.youtube.com/watch?v=La6mxK0D44E
14,2026,GiveInternet.org,https://projectforawesome.com/p4-a-2026-give-internet,P4A 2026: Give Internet,https://www.youtube.com/watch?v=JHEt8w5sLm8
15,2026,Union of Concerned Scientists,https://projectforawesome.com/science-is-under-attack-what-do-we-do,"Science is under attack, what do we do?",https://www.youtube.com/watch?v=YVvdSbLAIFE
16,2026,New Meaning Foundation,https://projectforawesome.com/project-for-awesome-2026-meet-new-meaning-foundation,Project for Awesome 2026: Meet New Meaning Foundation,https://www.youtube.com/watch?v=nnG2eFnTAi0
