Charity,Timestamp,id,viewCount,likeCount,favoriteCount,commentCount
One Heart Project,1739258365.4609578,yxUFeqwxgug,27,0.0,0,0.0
Soul Bilíngue,1739258365.4609578,2qu2dJYfVQ0,6,0.0,0,0.0
The Savannah Children's Theatre,1739258365.4609578,9jTdIJpIPBM,14,0.0,0,1.0
Puzzle Pieces Squared,1739258365.4609578,nCXYThUOymQ,60,0.0,0,
Sembrando Esperanza (Reforest Ecuador),1739258365.4609578,FPIsg1ZWFrA,4,0.0,0,0.0
Pink Ribbon Good,1739258365.4609578,q-kL8x8KbuU,14,1.0,0,0.0
Haiti Partners,1739258365.4609578,RKZ7JtSBZHs,63,0.0,0,0.0
Mahim Aboli Foundation,1739258365.4609578,grqDjqXmK8g,19,2.0,0,
She's The First,1739258365.4609578,tB4L-S1BFsw,12,1.0,0,1.0
Pamoja Community-Based Organisation,1739258365.4609578,5mYVVoNAdcY,7,0.0,0,0.0
Kindness Begins with Me,1739258365.4609578,elTn8w-jAqk,7,0.0,0,0.0
Animal Wonders,1739258365.4609578,GQUdk1ElX4s,1879,365.0,0,28.0
Earth Hero,1739258365.4609578,AR5F9-9cDJg,16,2.0,0,0.0
People Against Landlord Abuse & Tenant Exploitation,1739258365.4609578,agH6GDy9-vE,91,6.0,0,2.0
National Abortion Federation,1739258365.4609578,KMq_1J3MqkA,33,2.0,0,0.0
Planet Reimagined,1739258365.4609578,iaJ6x5Ep3q0,9,1.0,0,0.0
Viral Vegans,1739258365.4609578,nvHojj_CM5M,30,1.0,0,1.0
THE HOSPICE CASA SPERANTEI FOUNDATION,1739258365.4609578,wxRSNsxmOII,18,1.0,0,0.0
LitShop,1739258365.4609578,SmYuRpnDxU4,15,1.0,0,0.0
Lost-N-Found Youth,1739258365.4609578,4UhTl8ngFbk,27,2.0,0,1.0
Viral Vegans,1739258365.4609578,tqfYLqy1o54,74,,0,4.0
Pamoja Community-Based Organisation,1739258365.4609578,TLH6WHCSj0E,12,2.0,0,0.0
Ocean Conservancy,1739258365.4609578,0AG0TA_UdQg,7,0.0,0,0.0
Veganuary,1739258365.4609578,ecFpndTEC_k,21,1.0,0,0.0
"Batten Disease Support, Research, and Advocacy Foundation",1739258365.4609578,vTuwMCRN9Xc,19,0.0,0,0.0
Queer Camp,1739258365.4609578,isxucovx1pw,23,3.0,0,
Exotic Animals Rescue and Pet Sanctuary,1739258365.4609578,OqwLvEBuPbo,21,1.0,0,0.0
Thirst Project,1739258365.4609578,ltj1huqGaIY,3,0.0,0,0.0
A Cat's Life Rescue,1739258365.4609578,TlJxTgNEaTE,26,1.0,0,0.0
Yoga and Sports for Refugees,1739258365.4609578,lQyP6uls5u0,25,4.0,0,0.0
Archaeology in the Community,1739258365.4609578,V6sIRYU8HME,8,1.0,0,0.0
DOSE Artist Collective,1739258365.4609578,wWz8EAYxxGc,10,0.0,0,0.0
SameSame,1739258365.4609578,kVBUzFZzhXE,6,0.0,0,0.0
Aquatic Life Institute,1739258365.4609578,yF-nJSQNvk8,60,6.0,0,2.0
UNRWA USA,1739258365.4609578,j4PJ4feHUS0,15,2.0,0,3.0
Viral Vegans,1739258365.4609578,LJxx8amBotU,194,33.0,0,1.0
A Moment of Magic Foundation,1739258365.4609578,Lq-WY80j_js,9,1.0,0,
Student Advocacy Center of Michigan,1739258365.4609578,W0hJGlggUT0,15,0.0,0,0.0
"International Fund for Animal Welfare, Inc.",1739258365.4609578,Mpa1JQxU5Is,3,0.0,0,0.0
New Incentives,1739258365.4609578,OqPp6XhG6ak,10,0.0,0,0.0
Camp Fatima of New Jersey,1739258365.4609578,6Y0CEUBB2EY,20,0.0,0,0.0
She's The First,1739258365.4609578,BAZNgpuLI1A,9,1.0,0,1.0
The Humane League,1739258365.4609578,rKyHMBIPD0M,91,3.0,0,0.0
Viral Vegans,1739258365.4609578,G6CDx-S1IVk,13,3.0,0,0.0
Fish Welfare Initiative,1739258365.4609578,86gOwygi7Q4,37,1.0,0,0.0
Animal Advocacy Africa,1739258365.4609578,0NsIM-UsNgk,10,0.0,0,0.0
Global Citizen Adventure Corps,1739258365.4609578,pKSI16X96go,8,0.0,0,0.0
Legacy Youth Leadership,1739258365.4609578,5sFc70TDr4w,8,1.0,0,0.0
Archaeology in the Community,1739258365.4609578,nBFxnDrfpUQ,6,1.0,0,0.0
Vida Plena,1739258365.4609578,_JNMCzqspsY,9,0.0,0,0.0
One Heart Project,1739258927.2129245,yxUFeqwxgug,27,0.0,0,0.0
Soul Bilíngue,1739258927.2129245,2qu2dJYfVQ0,6,0.0,0,0.0
The Savannah Children's Theatre,1739258927.2129245,9jTdIJpIPBM,14,0.0,0,1.0
Puzzle Pieces Squared,1739258927.2129245,nCXYThUOymQ,60,0.0,0,
Sembrando Esperanza (Reforest Ecuador),1739258927.2129245,FPIsg1ZWFrA,4,0.0,0,0.0
Pink Ribbon Good,1739258927.2129245,q-kL8x8KbuU,14,1.0,0,0.0
Haiti Partners,1739258927.2129245,RKZ7JtSBZHs,63,0.0,0,0.0
Mahim Aboli Foundation,1739258927.2129245,grqDjqXmK8g,19,2.0,0,
She's The First,1739258927.2129245,tB4L-S1BFsw,12,1.0,0,1.0
Pamoja Community-Based Organisation,1739258927.2129245,5mYVVoNAdcY,7,0.0,0,0.0
Kindness Begins with Me,1739258927.2129245,elTn8w-jAqk,7,0.0,0,0.0
Animal Wonders,1739258927.2129245,GQUdk1ElX4s,1879,365.0,0,28.0
Earth Hero,1739258927.2129245,AR5F9-9cDJg,16,2.0,0,0.0
People Against Landlord Abuse & Tenant Exploitation,1739258927.2129245,agH6GDy9-vE,91,6.0,0,2.0
National Abortion Federation,1739258927.2129245,KMq_1J3MqkA,33,2.0,0,0.0
Planet Reimagined,1739258927.2129245,iaJ6x5Ep3q0,9,1.0,0,0.0
Viral Vegans,1739258927.2129245,nvHojj_CM5M,30,1.0,0,1.0
THE HOSPICE CASA SPERANTEI FOUNDATION,1739258927.2129245,wxRSNsxmOII,18,1.0,0,0.0
LitShop,1739258927.2129245,SmYuRpnDxU4,15,1.0,0,0.0
Lost-N-Found Youth,1739258927.2129245,4UhTl8ngFbk,27,2.0,0,1.0
Viral Vegans,1739258927.2129245,tqfYLqy1o54,74,,0,4.0
Pamoja Community-Based Organisation,1739258927.2129245,TLH6WHCSj0E,12,2.0,0,0.0
Ocean Conservancy,1739258927.2129245,0AG0TA_UdQg,7,0.0,0,0.0
Veganuary,1739258927.2129245,ecFpndTEC_k,21,1.0,0,0.0
"Batten Disease Support, Research, and Advocacy Foundation",1739258927.2129245,vTuwMCRN9Xc,19,0.0,0,0.0
Queer Camp,1739258927.2129245,isxucovx1pw,23,3.0,0,
Exotic Animals Rescue and Pet Sanctuary,1739258927.2129245,OqwLvEBuPbo,21,1.0,0,0.0
Thirst Project,1739258927.2129245,ltj1huqGaIY,3,0.0,0,0.0
A Cat's Life Rescue,1739258927.2129245,TlJxTgNEaTE,26,1.0,0,0.0
Yoga and Sports for Refugees,1739258927.2129245,lQyP6uls5u0,25,4.0,0,0.0
Archaeology in the Community,1739258927.2129245,V6sIRYU8HME,8,1.0,0,0.0
DOSE Artist Collective,1739258927.2129245,wWz8EAYxxGc,10,0.0,0,0.0
SameSame,1739258927.2129245,kVBUzFZzhXE,6,0.0,0,0.0
Aquatic Life Institute,1739258927.2129245,yF-nJSQNvk8,60,6.0,0,2.0
UNRWA USA,1739258927.2129245,j4PJ4feHUS0,15,2.0,0,3.0
Viral Vegans,1739258927.2129245,LJxx8amBotU,194,33.0,0,1.0
A Moment of Magic Foundation,1739258927.2129245,Lq-WY80j_js,9,1.0,0,
Student Advocacy Center of Michigan,1739258927.2129245,W0hJGlggUT0,15,0.0,0,0.0
"International Fund for Animal Welfare, Inc.",1739258927.2129245,Mpa1JQxU5Is,3,0.0,0,0.0
New Incentives,1739258927.2129245,OqPp6XhG6ak,10,0.0,0,0.0
Camp Fatima of New Jersey,1739258927.2129245,6Y0CEUBB2EY,20,0.0,0,0.0
She's The First,1739258927.2129245,BAZNgpuLI1A,9,1.0,0,1.0
The Humane League,1739258927.2129245,rKyHMBIPD0M,91,3.0,0,0.0
Viral Vegans,1739258927.2129245,G6CDx-S1IVk,13,3.0,0,0.0
Fish Welfare Initiative,1739258927.2129245,86gOwygi7Q4,37,1.0,0,0.0
Animal Advocacy Africa,1739258927.2129245,0NsIM-UsNgk,10,0.0,0,0.0
Global Citizen Adventure Corps,1739258927.2129245,pKSI16X96go,8,0.0,0,0.0
Legacy Youth Leadership,1739258927.2129245,5sFc70TDr4w,8,1.0,0,0.0
Archaeology in the Community,1739258927.2129245,nBFxnDrfpUQ,6,1.0,0,0.0
Vida Plena,1739258927.2129245,_JNMCzqspsY,9,0.0,0,0.0
Family Promise of the Jersey Shore,1739258927.4496698,BFKfcpBChyw,4,0.0,0,0.0
Habibi.Works,1739258927.4496698,L5UbzlKEqqk,24,0.0,0,0.0
Wings of Rescue,1739258927.4496698,in406LTN6tY,24,,0,0.0
Habibi.Works,1739258927.4496698,ro7ofJaeD8M,9,1.0,0,0.0
Parkinson's UK,1739258927.4496698,8ZtIQ03p1m4,13,0.0,0,0.0
MIND Research Institute,1739258927.4496698,ddXf3uOj-3Y,16,0.0,0,0.0
ProVeg International,1739258927.4496698,M6-61INs5eo,9,2.0,0,1.0
Art Meets Education,1739258927.4496698,BCbI05varXY,16,0.0,0,0.0
EMU International Scholarship Fund,1739258927.4496698,XW4vMSMoDVE,31,4.0,0,0.0
International Campaign to Abolish Nuclear Weapons,1739258927.4496698,OeUEM5BWuo0,5,0.0,0,0.0
Sprach- und Bildungsförderung SprInt gGmbH,1739258927.4496698,mpbzp2akuT8,14,1.0,0,1.0
Campaign Against Living Miserably,1739258927.4496698,Xj73Rxg_evA,11,0.0,0,0.0
Bail Project,1739258927.4496698,gZTaX9hJ1n4,8,0.0,0,0.0
Palestinian Youth Movement,1739258927.4496698,wT9QFBYLG1U,2,0.0,0,0.0
National Abortion Federation,1739258927.4496698,JBKKJb_M3CU,8,0.0,0,0.0
National Abortion Federation,1739258927.4496698,86OHukSFCB0,9,0.0,0,0.0
War Child,1739258927.4496698,JWj86Ul-rSk,67,6.0,0,0.0
ReFOCUS Media Labs,1739258927.4496698,X-4_Pv5j7_4,24,3.0,0,0.0
Seacology,1739258927.4496698,2lR8QTkqvw4,8,2.0,0,0.0
Cure CLCN6,1739258927.4496698,GriWDWSuDoQ,8,1.0,0,1.0
Girls for change Initiative,1739258927.4496698,531Csu1WYSg,6,0.0,0,0.0
Small Miracles,1739258927.4496698,a1w7YAdqrq0,14,0.0,0,0.0
ASISTA Immigration Assistance,1739258927.4496698,8SOhKeKEg-0,4,1.0,0,0.0
Lets Plant e.V.,1739258927.4496698,SCKLiE6vbo0,6,0.0,0,0.0
Thirst Project,1739258927.4496698,_xs_If6ZYQ8,79,4.0,0,
Hear Your Song,1739258927.4496698,pValiVTC_OA,3,0.0,0,0.0
The Friendship Circle,1739258927.4496698,VnxvYaHQ5GM,25,2.0,0,0.0
The Starfish Foundation,1739258927.4496698,78UdfaoOMUE,18,2.0,0,0.0
Michael J. Fox Foundation,1739258927.4496698,OecVeMx8dcQ,21,5.0,0,2.0
Now I Lay Me Down to Sleep,1739258927.4496698,EJrwlQRZH3c,33,6.0,0,0.0
Alveus Sanctuary,1739258927.4496698,BXpGj9xtuik,8,0.0,0,0.0
LifeSmart Education,1739258927.4496698,zFBVCA6EJqI,15,2.0,0,0.0
The J.E.D. Foundation,1739258927.4496698,DuzKAoRRrxk,6,0.0,0,0.0
War Child,1739258927.4496698,SY8zztFtJi4,5,,0,0.0
cancer research institute,1739258927.4496698,u99OyBTLinw,9,2.0,0,0.0
Campaign Against Living Miserably,1739258927.4496698,KHG-aeaPE8Y,18,2.0,0,0.0
Gamers Outreach,1739258927.4496698,NWSBm9ad50w,37,5.0,0,2.0
"Carabiner Collections, Inc.",1739258927.4496698,7y7pwxzGTE0,30,6.0,0,0.0
Puppies Behind Bars,1739258927.4496698,Y3fKGOPyC8I,15,6.0,0,0.0
Project Drawdown,1739258927.4496698,_-klp4LR0dE,19,3.0,0,
She's The First,1739258927.4496698,oXl1ooMdq00,158,3.0,0,1.0
ReliefAid,1739258927.4496698,4qHyKYXp9SM,18,1.0,0,0.0
Amigxs Del M.A.R.,1739258927.4496698,m_MlSc721Y0,42,9.0,0,
Palomacy Pigeon & Dove Adoptions,1739258927.4496698,CtRhyOE6bDA,9,1.0,0,
She's The First,1739258927.4496698,OsGeoMijWTE,10,0.0,0,0.0
Legacy Youth Leadership,1739258927.4496698,iwbENZeeSd0,23,1.0,0,2.0
United Mitochondrial Disease Foundation,1739258927.4496698,UkWbeDkSdwk,14,0.0,0,0.0
National Eating Disorders Association,1739258927.4496698,mBy0oNhDaBU,33,4.0,0,0.0
Malala Fund,1739258927.4496698,RqAx5SeGT_Y,17,0.0,0,1.0
Communitopia,1739258927.683268,9FNLoRhAWHg,29,3.0,0,0.0
WaterAid,1739258927.683268,vaXmiy0ph4Q,24,3.0,0,0.0
Equal Justice Initiative,1739258927.683268,q2XWX4eGSzk,4,0.0,0,0.0
Limbs for Life,1739258927.683268,4G6nNGHT2wg,31,2.0,0,0.0
Cosmopolitan Party Foundation,1739258927.683268,snHhDawECpc,30,1.0,0,0.0
Prison Book Program,1739258927.683268,LFQHTOF7OP4,11,1.0,0,2.0
Legacy Youth Leadership,1739258927.683268,nHadd1lvsk0,1259,154.0,0,24.0
She's The First,1739258927.683268,6gLDG345BYA,8,1.0,0,1.0
Encouraging Women Across All Borders,1739258927.683268,omk-RAUXtRs,4,0.0,0,0.0
Collaborative Family Healthcare Association,1739258927.683268,192Sy3VILDk,25,1.0,0,0.0
PCHR,1739258927.683268,hSYhBJEK2NQ,20,7.0,0,2.0
UNRWA USA,1739258927.683268,M3r0Q73sfpw,22,7.0,0,2.0
FREE2LUV,1739258927.683268,vEs8R03-h-8,17,1.0,0,0.0
Disability EmpowHer Network,1739258927.683268,KaCAFG1oKgI,8,0.0,0,0.0
Prison Book Program,1739258927.683268,GMIge_zAqRA,18,1.0,0,0.0
The Northwest Hub,1739258927.683268,r8B00aaAay4,13,1.0,0,1.0
Not Forgotten,1739258927.683268,tNlmWBTOxtg,13,1.0,0,0.0
ACLU,1739258927.683268,oZWke0AjPUg,20,0.0,0,
This Star Won't Go Out,1739258927.683268,cODIZZO9Lpg,44,8.0,0,2.0
Sandy Hook Promise,1739258927.683268,LT-QblUea78,11,0.0,0,0.0
OpenMRS,1739258927.683268,9K9ApHfiUF4,86,15.0,0,0.0
Digital4Good x #ICANHELP,1739258927.683268,5Ws19y7Vi0g,22,3.0,0,0.0
The Superhero Project,1739258927.683268,ErKhUbOPMRw,4,1.0,0,1.0
Day One,1739258927.683268,Ftjj7UzVP2Q,18,2.0,0,0.0
Ophelias Place,1739258927.683268,AbrkoU89LJA,14,1.0,0,1.0
DoSomething.org,1739258927.683268,M4mbNoNFm7U,46,2.0,0,1.0
Giving What We Can,1739258927.683268,P-iLbQWwvbU,53,9.0,0,0.0
Scarleteen,1739258927.683268,uDylAlyOJhQ,38,3.0,0,2.0
She's The First,1739258927.683268,rZzZhijtWEY,27,3.0,0,2.0
No Means No Worldwide,1739258927.683268,8xuGqjh2tpE,24,1.0,0,0.0
Literacy for Life,1739258927.683268,yGDp8HYKOk4,9,0.0,0,0.0
St. Jude Children's Research Hospital,1739258927.683268,WKDFM9by1AI,5,0.0,0,0.0
NATIONAL LGBTQ TASK FORCE,1739258927.683268,ZLpPZUcxIhI,62,3.0,0,0.0
American Foundation for Suicide Prevention,1739258927.683268,8Q4_Os2b4EU,12,1.0,0,0.0
Aquatic Life Institute,1739258927.683268,yi92iApYedc,13,0.0,0,0.0
LOVEPAWS,1739258927.683268,C84i_b9UAAU,4,0.0,0,0.0
wellpower,1739258927.683268,gAl27XrKnPw,14,2.0,0,0.0
Sinergia Animal,1739258927.683268,GAwnMts_jDk,8,1.0,0,0.0
Thirst Project,1739258927.683268,d8ctD_IqcTU,8,0.0,0,0.0
Centre for the Governance of AI,1739258927.683268,Wj6To4Cvkd4,11,0.0,0,0.0
Seacology,1739258927.683268,IXGbTByySQ4,55,2.0,0,0.0
Tinykittens,1739258927.683268,LXeWkow-Egs,3,0.0,0,0.0
GLOBAL REFUGE,1739258927.683268,y3Fer8VD64Q,30,3.0,0,0.0
Animal Sanctuary Aurora,1739258927.683268,1TfErf1aNSk,16,3.0,0,0.0
Instrument Shop,1739258927.683268,65TR20LQOLM,47,5.0,0,1.0
Sphinx Academy,1739258927.683268,GxeY4Tok-iQ,12,1.0,0,0.0
Sentience,1739258927.683268,L-EHVUn9hSQ,71,8.0,0,1.0
Kafessiz Turkiye,1739258927.683268,rGWxS6kNc5E,6,0.0,0,0.0
Sinergia Animal,1739258927.683268,gPVEtZYL1aY,9,0.0,0,0.0
Awakening Recovery,1739258927.683268,ryvQjhKI7Rk,4,1.0,0,0.0
Mermaids UK,1739258927.897251,-MViUL06nHw,97,6.0,0,2.0
Time Out Youth,1739258927.897251,BqrsO-g8Aio,24,3.0,0,3.0
